WB-1044190	WB-1044191	WB-1044192
ENSG00000221866	24	24	24
ENSG00000221867	0	0	0
ENSG00000221869	0	0	0
ENSG00000221870	0	0	0
ENSG00000221874	0	0	0
ENSG00000221878	0	0	0
ENSG00000221879	0	0	0
ENSG00000221882	0	0	0
ENSG00000221883	1.278	1.278	1.278
ENSG00000221886	1	1	1
ENSG00000221887	0	0	0
ENSG00000221888	0	0	0
ENSG00000221890	72	72	72
ENSG00000221891	0	0	0
ENSG00000221900	0	0	0
ENSG00000221909	3	3	3
ENSG00000221910	0	0	0
ENSG00000221914	6	6	6
ENSG00000221916	0	0	0
ENSG00000221923	2	2	2
ENSG00000221926	4	4	4
ENSG00000221930	0	0	0
ENSG00000221931	0	0	0
ENSG00000221932	0	0	0
ENSG00000221933	0	0	0
ENSG00000221937	0	0	0
ENSG00000221938	0	0	0
ENSG00000221944	3	3	3
ENSG00000221946	4	4	4
ENSG00000221947	1.552	1.552	1.552
ENSG00000221954	0	0	0
ENSG00000221955	1	1	1
ENSG00000221957	0	0	0
ENSG00000221961	0	0	0
ENSG00000221962	0	0	0
ENSG00000221963	0	0	0
ENSG00000221968	8.999	9	9
ENSG00000221970	0	0	0
ENSG00000221971	0	0	0
ENSG00000221972	0	0	0
ENSG00000221977	0	0	0
ENSG00000221978	42	42	42
ENSG00000221983	33	33	33
ENSG00000221986	0	0	0
ENSG00000221988	8	0	0
ENSG00000221989	0	0	0
ENSG00000221994	0	0	0
ENSG00000221995	2.289	2.289	2.289
ENSG00000221996	0	0	0
ENSG00000222009	0	0	0
ENSG00000222011	0	0	0
ENSG00000222014	2	2	2
ENSG00000222018	0	0	0
ENSG00000222019	0	0	0
ENSG00000222024	0	0	0
ENSG00000222028	0	0	0
ENSG00000222036	0	0	0
ENSG00000222037	0	0	0
ENSG00000222038	0	0	0
ENSG00000222046	0	0	0
ENSG00000222047	0	0	0
ENSG00000223345	0	0	0
ENSG00000223349	0	0	0
ENSG00000223350	0	0	0
ENSG00000223353	0	0	0
ENSG00000223355	0	0	0
ENSG00000223361	0	0	0
ENSG00000223362	0	0	0
ENSG00000223368	0	0	0
ENSG00000223372	0	0	0
ENSG00000223375	0	0	0
ENSG00000223377	0	0	0
ENSG00000223383	0	0	0
ENSG00000223389	0	0	0
ENSG00000223391	0	0	0
ENSG00000223394	0	0	0
ENSG00000223395	0	0	0
ENSG00000223398	0	0	0
ENSG00000223402	0	0	0
ENSG00000223406	0	0	0
ENSG00000223407	0	0	0
ENSG00000223409	0	0	0
ENSG00000223416	0	0	0
ENSG00000223417	0	0	0
ENSG00000223418	0	0	0
ENSG00000223419	0	0	0
ENSG00000223421	0	0	0
ENSG00000223422	0	0	0
ENSG00000223427	0	0	0
ENSG00000223428	0	0	0
ENSG00000223429	0	0	0
ENSG00000223431	0	0	0
ENSG00000223433	0	0	0
ENSG00000223437	0	0	0
ENSG00000223441	0	0	0
ENSG00000223443	0	0	0
ENSG00000223445	0	0	0
ENSG00000223450	0	0	0
ENSG00000223452	0	0	0
ENSG00000223455	0	0	0
ENSG00000223459	10.02	10.061	10.028
ENSG00000223460	0	0	0
ENSG00000223463	0	0	0
ENSG00000223465	0	0	0
ENSG00000223467	0	0	0
ENSG00000223476	0	0	0
ENSG00000223484	0	0	0
ENSG00000223488	0	0	0
ENSG00000223489	0	0	0
ENSG00000223490	0	0	0
ENSG00000223493	11	11	11
ENSG00000223494	0	0	0
ENSG00000223495	0	0	0
ENSG00000223496	9.032	9.032	9.032
ENSG00000223497	0	0	0
ENSG00000223498	0	0	0
ENSG00000223500	0	0	0
ENSG00000223503	0	0	0
ENSG00000223505	0	0	0
ENSG00000223508	0	0	0
ENSG00000223509	0	0	0
ENSG00000223510	0	0	0
ENSG00000223513	0	0	0
ENSG00000223514	0	0	0
ENSG00000223518	0	0	0
ENSG00000223519	0	0	0
ENSG00000223529	0	0	0
ENSG00000223531	0	0	0
ENSG00000223532	0	0.333	0
ENSG00000223533	0	0	0
ENSG00000223535	0	0	0
ENSG00000223538	0	0	0
ENSG00000223539	0	0	0
ENSG00000223540	0	0	0
ENSG00000223543	0	0	0
ENSG00000223544	0	0	0
ENSG00000223547	5	5	5
ENSG00000223549	0	0	0
ENSG00000223550	0	0	0
ENSG00000223551	0	0	0
ENSG00000223553	0	0	0
ENSG00000223555	0	0	0
ENSG00000223558	0	0	0
ENSG00000223559	0	0	0
ENSG00000223560	0	0	0
ENSG00000223564	0	0	0
ENSG00000223565	0	0	0
ENSG00000223566	0	0	0
ENSG00000223568	0	0	0
ENSG00000223569	0	0	0
ENSG00000223570	0	0	0
ENSG00000223572	0	0	0
ENSG00000223574	0	0	0
ENSG00000223575	0	0	0
ENSG00000223583	0	0	0
ENSG00000223584	0	0	0
ENSG00000223589	0	0	0
ENSG00000223590	0	0	0
ENSG00000223591	0	0	0
ENSG00000223592	0	0	0
ENSG00000223593	0	0	0
ENSG00000223595	0	0	0
ENSG00000223600	0	0	0
ENSG00000223601	0	0	0
ENSG00000223602	0	0	0
ENSG00000223603	0	0	0
ENSG00000223604	0	0	0
ENSG00000223605	0	0	0
ENSG00000223606	0	0	0
ENSG00000223609	0	0	0
ENSG00000223611	0	0	0
ENSG00000223612	0	0	0
ENSG00000223614	0	0	0
ENSG00000223615	0	0	0
ENSG00000223618	0	0	0
ENSG00000223619	0	0	0
ENSG00000223620	0	0	0
ENSG00000223621	0	0	0
ENSG00000223622	0	0	0
ENSG00000223624	0	0	0
ENSG00000223625	0	0	0
ENSG00000223628	0	0	0
ENSG00000223629	0	0	0
ENSG00000223637	0	0	0
ENSG00000223638	0	0	0
ENSG00000223640	0	0	0
ENSG00000223648	0	0	0
ENSG00000223650	0	0	0
ENSG00000223651	0	0	0
ENSG00000223654	0	0	0
ENSG00000223655	0	0	0
ENSG00000223656	0	0	0
ENSG00000223657	0	0	0
ENSG00000223658	0	0	0
ENSG00000223663	0	0	0
ENSG00000223666	0	0	0
ENSG00000223668	0	0	0
ENSG00000223671	0	0	0
ENSG00000223672	0	0	0
ENSG00000223676	0	0	0
ENSG00000223679	0	0	0
ENSG00000223680	0	0	0
ENSG00000223683	0	0	0
ENSG00000223684	0	0	0
ENSG00000223687	0	0	0
ENSG00000223688	0	0	0
ENSG00000223691	0	0	0
ENSG00000223694	0	0	0
ENSG00000223698	0	0	0
ENSG00000223699	0	0	0
ENSG00000223702	0	0	0
ENSG00000223703	0	0	0
ENSG00000223705	16.073	16.062	16.062
ENSG00000223707	0	0	0
ENSG00000223708	0	0	0
ENSG00000223709	0	0	0
ENSG00000223710	0	0	0
ENSG00000223717	0	0	0
ENSG00000223718	0	0	0
ENSG00000223719	0	0	0
ENSG00000223721	0	0	0
ENSG00000223722	0	0	0
ENSG00000223723	0	0	0
ENSG00000223724	0	0	0
ENSG00000223728	0	0	0
ENSG00000223730	0	0	0
ENSG00000223731	0	0	0
ENSG00000223733	0	0	0
ENSG00000223735	0	0	0
ENSG00000223738	0	0	0
ENSG00000223739	0	0	0
ENSG00000223740	0	0	0
ENSG00000223741	0	0	0
ENSG00000223744	0	0	0
ENSG00000223746	0	0	0
ENSG00000223750	0	0	0
ENSG00000223752	0	0	0
ENSG00000223753	0	0	0
ENSG00000223756	1	1	1
ENSG00000223760	0	0	0
ENSG00000223766	6.718	6.718	6.718
ENSG00000223771	0	0	0
ENSG00000223772	0	0	0
ENSG00000223773	0	0	0
ENSG00000223775	12	12	12
ENSG00000223777	0	0	0
ENSG00000223779	0	0	0
ENSG00000223782	0	0	0
ENSG00000223787	0	0	0
ENSG00000223788	0	0	0
ENSG00000223793	0	0	0
ENSG00000223794	0	0	0
ENSG00000223798	0	0	0
ENSG00000223802	3.548	3.548	3.548
ENSG00000223803	0	0	0
ENSG00000223804	4	4	4
ENSG00000223807	0	0	0
ENSG00000223810	0	0	0
ENSG00000223816	0	0	0
ENSG00000223819	0	0	0
ENSG00000223820	1	1	1
ENSG00000223822	0	0	0
ENSG00000223824	0	0	0
ENSG00000223825	0	0	0
ENSG00000223828	0	0	0
ENSG00000223833	0	0	0
ENSG00000223836	0	0	0
ENSG00000223840	0	0	0
ENSG00000223841	0	0	0
ENSG00000223844	0	0	0
ENSG00000223845	0	0	0
ENSG00000223847	0	0	0
ENSG00000223849	0	0	0
ENSG00000223852	0	0	0
ENSG00000223853	0	0	0
ENSG00000223856	0	0	0
ENSG00000223860	0	0	0
ENSG00000223861	0	0	0
ENSG00000223864	0	0	0
ENSG00000223866	0	0	0
ENSG00000223867	0	0	0
ENSG00000223869	0	0	0
ENSG00000223873	0	0	0
ENSG00000223875	0	0	0
ENSG00000223876	0	0	0
ENSG00000223877	0	0	0
ENSG00000223878	0	0	0
ENSG00000223885	0	0	0
ENSG00000223886	0	0	0
ENSG00000223887	3.282	3.282	3.282
ENSG00000223889	0	0	0
ENSG00000223890	0	0	0
ENSG00000223892	0	0	0
ENSG00000223893	0	0	0
ENSG00000223894	0	0	0
ENSG00000223896	0	0	0
ENSG00000223897	0	0	0
ENSG00000223898	0	0	0
ENSG00000223899	0	0	0
ENSG00000223903	0	0	0
ENSG00000223904	0	0	0
ENSG00000223905	0	0	0
ENSG00000223908	0	0	0
ENSG00000223912	0	0	0
ENSG00000223915	0	0	0
ENSG00000223916	0	0	0
ENSG00000223917	0	0	0
ENSG00000223918	0	0	0
ENSG00000223920	0	0	0
ENSG00000223921	0	0	0
ENSG00000223922	0	0	0
ENSG00000223927	0	0	0
ENSG00000223928	0	0	0
ENSG00000223931	0	0	0
ENSG00000223939	0	0	0
ENSG00000223940	0	0	0
ENSG00000223945	0	0	0
ENSG00000223948	0	0	0
ENSG00000223951	0	0	0
ENSG00000223953	1	1	1
ENSG00000223955	0	0	0
ENSG00000223957	6	6	6
ENSG00000223958	0	0	0
ENSG00000223959	1	1	1
ENSG00000223962	0	0	0
ENSG00000223963	0	0	0
ENSG00000223965	0	0	0
ENSG00000223967	0	0	0
ENSG00000223968	0	0	0
ENSG00000223970	0	0	0
ENSG00000223971	0	0	0
ENSG00000223972	0	0	0
ENSG00000223973	0	0	0
ENSG00000223974	0	0	0
ENSG00000223976	0	0	0
ENSG00000223977	0	0	0
ENSG00000223978	0	0	0
ENSG00000223980	0	0	0
ENSG00000223982	0	0	0
ENSG00000223984	0	0	0
ENSG00000223986	0	0	0
ENSG00000223987	0	0	0
ENSG00000223990	0	0	0
ENSG00000223995	0	0	0
ENSG00000223996	0	0	0
ENSG00000223997	0	0	0
ENSG00000224001	0	0	0
ENSG00000224003	0	0	0
ENSG00000224004	0	0	0
ENSG00000224006	0	0	0
ENSG00000224007	0	0	0
ENSG00000224011	0	0	0
ENSG00000224012	0	0	0
ENSG00000224014	0	0	0
ENSG00000224016	0	0	0
ENSG00000224019	0	0	0
ENSG00000224025	0	0	0
ENSG00000224033	0	0	0
ENSG00000224035	0	0	0
ENSG00000224039	0	0	0
ENSG00000224040	0	0	0
ENSG00000224041	0	0	0
ENSG00000224042	0	0	0
ENSG00000224044	0	0	0
ENSG00000224045	0	0	0
ENSG00000224051	2	2	2
ENSG00000224053	0	0	0
ENSG00000224054	0	0	0
ENSG00000224055	0	0	0
ENSG00000224058	0	0	0
ENSG00000224059	0	0	0
ENSG00000224060	0	0	0
ENSG00000224061	0	0	0
ENSG00000224062	0	0	0
ENSG00000224064	0	0	0
ENSG00000224065	0	0	0
ENSG00000224067	0	0	0
ENSG00000224069	0	0	0
ENSG00000224070	0	0	0
ENSG00000224071	0	0	0
ENSG00000224072	0	0	0
ENSG00000224080	0	0	0
ENSG00000224081	0	0	0
ENSG00000224082	0	0	0
ENSG00000224083	0	0	0
ENSG00000224085	0	0	0
ENSG00000224089	0	0	0
ENSG00000224092	0	0	0
ENSG00000224094	0	0	0
ENSG00000224097	0	0	0
ENSG00000224103	0	0	0
ENSG00000224104	0	0	0
ENSG00000224106	1	1	1
ENSG00000224109	0	0	0
ENSG00000224110	0	0	0
ENSG00000224114	0	0	0
ENSG00000224117	0	0	0
ENSG00000224118	0	0	0
ENSG00000224121	0	0	0
ENSG00000224124	0	0	0
ENSG00000224126	0	0	0
ENSG00000224131	0	0	0
ENSG00000224134	0	0	0
ENSG00000224136	0	0	0
ENSG00000224143	0	0	0
ENSG00000224145	0	0	0
ENSG00000224151	0	0	0
ENSG00000224155	0	0	0
ENSG00000224156	322.84	322.496	322.4
ENSG00000224159	0	0	0
ENSG00000224160	0	0	0
ENSG00000224161	0	0	0
ENSG00000224162	0	0	0
ENSG00000224163	0	0	0
ENSG00000224166	0	0	0
ENSG00000224168	0	0	0
ENSG00000224169	0	0	0
ENSG00000224172	0	0	0
ENSG00000224183	0	0	0
ENSG00000224185	0	0	0
ENSG00000224188	0	0	0
ENSG00000224200	0	0	0
ENSG00000224203	0	0	0
ENSG00000224207	0	0	0
ENSG00000224208	0	0	0
ENSG00000224210	0	0	0
ENSG00000224212	0	0	0
ENSG00000224217	0	0	0
ENSG00000224219	0	0	0
ENSG00000224221	0	0	0
ENSG00000224224	0	0	0
ENSG00000224227	0	0	0
ENSG00000224232	0	0	0
ENSG00000224233	0	0	0
ENSG00000224236	0	0	0
ENSG00000224237	0	0	0
ENSG00000224240	0	0	0
ENSG00000224242	0	0	0
ENSG00000224244	0	0	0
ENSG00000224245	0	0	0
ENSG00000224246	0	0	0
ENSG00000224252	0	0	0
ENSG00000224254	0	0	0
ENSG00000224255	0	0	0
ENSG00000224256	0	0	0
ENSG00000224261	0	0	0
ENSG00000224263	0	0	0
ENSG00000224264	0	0	0
ENSG00000224273	0	0	0
ENSG00000224274	0	0	0
ENSG00000224278	0	0	0
ENSG00000224279	0	0	0
ENSG00000224280	0	0	0
ENSG00000224282	0	0	0
ENSG00000224287	0	0	0
ENSG00000224288	0	0	0
ENSG00000224289	0	0	0
ENSG00000224291	0	0	0
ENSG00000224293	0	0	0
ENSG00000224295	0	0	0
ENSG00000224296	0	0	0
ENSG00000224297	0	0	0
ENSG00000224299	0	0	0
ENSG00000224300	0	0	0
ENSG00000224302	0	0	0
ENSG00000224309	0	0	0
ENSG00000224314	0	0	0
ENSG00000224315	0	0	0
ENSG00000224316	0	0	0
ENSG00000224319	0	0	0
ENSG00000224320	0	0	0
ENSG00000224321	0	0	0
ENSG00000224323	0	0	0
ENSG00000224324	0	0	0
ENSG00000224331	0	0	0
ENSG00000224333	0	0	0
ENSG00000224334	0	0	0
ENSG00000224335	0	0	0
ENSG00000224336	0	0	0
ENSG00000224337	0	0	0
ENSG00000224338	0	0	0
ENSG00000224339	0	0	0
ENSG00000224340	0	0	0
ENSG00000224341	0	0	0
ENSG00000224344	0	0	0
ENSG00000224346	0	0	0
ENSG00000224348	0	0	0
ENSG00000224351	0	0	0
ENSG00000224352	0	0	0
ENSG00000224353	0	0	0
ENSG00000224354	0	0	0
ENSG00000224357	0	0	0
ENSG00000224365	0	0	0
ENSG00000224366	0	0	0
ENSG00000224367	0	0	0
ENSG00000224368	0	0	0
ENSG00000224370	0	0	0
ENSG00000224378	0	0	0
ENSG00000224379	0	0	0
ENSG00000224383	0	0	0
ENSG00000224389	0	0	0
ENSG00000224396	0	0	0
ENSG00000224398	0	0	0
ENSG00000224401	0	0	0
ENSG00000224403	0	0	0
ENSG00000224408	0	0	0
ENSG00000224410	0	0	0
ENSG00000224411	0	0	0
ENSG00000224412	0	0	0
ENSG00000224414	0	0	0
ENSG00000224415	0	0	0
ENSG00000224416	0	0	0
ENSG00000224419	0	0	0
ENSG00000224420	0	0	0
ENSG00000224421	0	0	0
ENSG00000224425	0	0	0
ENSG00000224426	0	0	0
ENSG00000224427	0	0	0
ENSG00000224430	0	0	0
ENSG00000224431	0	0	0
ENSG00000224435	0	0	0
ENSG00000224436	0	0	0
ENSG00000224437	0	0	0
ENSG00000224438	0	0	0
ENSG00000224439	0	0	0
ENSG00000224442	0	0	0
ENSG00000224443	0	0	0
ENSG00000224447	0	0	0
ENSG00000224448	0	0	0
ENSG00000224451	0	0	0
ENSG00000224452	0	0	0
ENSG00000224455	0	0	0
ENSG00000224458	0	0	0
ENSG00000224462	0	0	0
ENSG00000224463	0	0	0
ENSG00000224464	0	0	0
ENSG00000224465	0	0	0
ENSG00000224466	0	0	0
ENSG00000224469	0	0	0
ENSG00000224470	6	6	6
ENSG00000224471	0	0	0
ENSG00000224473	0	0	0
ENSG00000224475	0	0	0
ENSG00000224476	0	0	0
ENSG00000224479	0	0	0
ENSG00000224482	0	0	0
ENSG00000224484	0	0	0
ENSG00000224485	0	0	0
ENSG00000224487	0	0	0
ENSG00000224488	0	0	0
ENSG00000224493	0	0	0
ENSG00000224494	0	0	0
ENSG00000224496	0	0	0
ENSG00000224497	0	0	0
ENSG00000224498	0	0	0
ENSG00000224501	0	0	0
ENSG00000224510	0	0	0
ENSG00000224518	0	0	0
ENSG00000224519	0	0	0
ENSG00000224520	0	0	0
ENSG00000224523	0	0	0
ENSG00000224524	0	0	0
ENSG00000224526	0	0	0
ENSG00000224529	0	0	0
ENSG00000224530	0	0	0
ENSG00000224531	33	33	33
ENSG00000224537	0	0	0
ENSG00000224539	0	0	0
ENSG00000224540	0	0	0
ENSG00000224542	0	0	0
ENSG00000224543	0	0	0
ENSG00000224544	0	0	0
ENSG00000224545	0	0	0
ENSG00000224546	0	0	0
ENSG00000224547	0	0	0
ENSG00000224548	0	0	0
ENSG00000224550	0	0	0
ENSG00000224551	0	0	0
ENSG00000224552	14	14	14
ENSG00000224553	0	0	0
ENSG00000224555	0	0	0
ENSG00000224556	0	0	0
ENSG00000224560	0	0	0
ENSG00000224566	0	0	0
ENSG00000224567	0	0	0
ENSG00000224569	0	0	0
ENSG00000224570	0	0	0
ENSG00000224571	0	0	0
ENSG00000224573	0	0	0
ENSG00000224578	2.805	2.327	2.727
ENSG00000224584	0	0	0
ENSG00000224585	0	0	0
ENSG00000224586	0	0	0
ENSG00000224589	0	0	0
ENSG00000224590	0	0	0
ENSG00000224593	0	0	0
ENSG00000224594	0	0	0
ENSG00000224598	0	0	0
ENSG00000224599	0	0	0
ENSG00000224600	0	0	0
ENSG00000224602	0	0	0
ENSG00000224603	0	0	0
ENSG00000224604	0	0	0
ENSG00000224607	0	0	0
ENSG00000224608	0	0	0
ENSG00000224611	0	0	0
ENSG00000224617	0	0	0
ENSG00000224618	0	0	0
ENSG00000224620	0	0	0
ENSG00000224622	0	0	0
ENSG00000224625	0	0	0
ENSG00000224627	0	0	0
ENSG00000224628	0	0	0
ENSG00000224629	0	0	0
ENSG00000224630	0	0	0
ENSG00000224631	0	0	0
ENSG00000224632	0	0	0
ENSG00000224634	0	0	0
ENSG00000224637	0	0	0
ENSG00000224640	0	0	0
ENSG00000224646	0	0	0
ENSG00000224647	0	0	0
ENSG00000224650	0	0	0
ENSG00000224653	0	0	0
ENSG00000224656	0	0	0
ENSG00000224657	0	0	0
ENSG00000224659	0	0	0
ENSG00000224662	0	0	0
ENSG00000224664	0	0	0
ENSG00000224667	0	0	0
ENSG00000224668	0	0	0
ENSG00000224669	0	0	0
ENSG00000224670	0	0	0
ENSG00000224672	0	0	0
ENSG00000224674	0	0	0
ENSG00000224677	0	0	0
ENSG00000224678	0	0	0
ENSG00000224679	0	0	0
ENSG00000224680	0	0	0
ENSG00000224681	0	0	0
ENSG00000224682	0	0	0
ENSG00000224683	0	0	0
ENSG00000224685	0	0	0
ENSG00000224686	0	0	0
ENSG00000224688	0	0	0
ENSG00000224689	0	0	0
ENSG00000224690	0	0	0
ENSG00000224692	0	0	0
ENSG00000224693	0	0	0
ENSG00000224695	0	0	0
ENSG00000224697	0	0	0
ENSG00000224701	0	0	0
ENSG00000224706	0	0	0
ENSG00000224709	0	0	0
ENSG00000224710	0	0	0
ENSG00000224712	0	0	0
ENSG00000224719	0	0	0
ENSG00000224722	0	0	0
ENSG00000224723	0	0	0
ENSG00000224725	0	0	0
ENSG00000224727	0	0	0
ENSG00000224728	0	0	0
ENSG00000224732	0	0	0
ENSG00000224735	0	0	0
ENSG00000224736	0	0	0
ENSG00000224740	19.617	19.617	19.617
ENSG00000224747	0	0	0
ENSG00000224748	0	0	0
ENSG00000224751	0	0	0
ENSG00000224752	0	0	0
ENSG00000224755	0	0	0
ENSG00000224760	0	0	0
ENSG00000224762	0	0	0
ENSG00000224763	0	0	0
ENSG00000224769	0	0	0
ENSG00000224770	0	0	0
ENSG00000224773	0	0	0
ENSG00000224774	17.404	18.582	17.085
ENSG00000224775	0	0	0
ENSG00000224776	0	0	0
ENSG00000224777	0	0	0
ENSG00000224778	0	0	0
ENSG00000224781	0	0	0
ENSG00000224782	0	0	0
ENSG00000224783	0	0	0
ENSG00000224784	0	0	0
ENSG00000224785	0	0	0
ENSG00000224786	0	0	0
ENSG00000224791	0	0	0
ENSG00000224792	0	0	0
ENSG00000224797	0	0	0
ENSG00000224800	0	0	0
ENSG00000224801	0	0	0
ENSG00000224802	0	0	0
ENSG00000224806	0	0	0
ENSG00000224809	0	0	0
ENSG00000224813	0	0	0
ENSG00000224815	0	0	0
ENSG00000224816	0	0	0
ENSG00000224820	0	0	0
ENSG00000224826	0	0	0
ENSG00000224827	0	0	0
ENSG00000224829	0	0	0
ENSG00000224830	0	0	0
ENSG00000224831	0	0	0
ENSG00000224834	0	0	0
ENSG00000224836	0	0	0
ENSG00000224837	1	1	1
ENSG00000224839	0	0	0
ENSG00000224841	8	8	8
ENSG00000224852	0	0	0
ENSG00000224856	0	0	0
ENSG00000224858	0	0	0
ENSG00000224859	0	0.5	0
ENSG00000224860	0	0	0
ENSG00000224861	0	0	0
ENSG00000224864	0	0	0
ENSG00000224866	0	0	0
ENSG00000224869	0	0	0
ENSG00000224873	0	0	0
ENSG00000224877	0	0	0
ENSG00000224880	0	0	0
ENSG00000224881	0	0	0
ENSG00000224886	0	0	0
ENSG00000224887	0	0	0
ENSG00000224891	0	0	0
ENSG00000224892	0	0	0
ENSG00000224894	0	0	0
ENSG00000224895	0	0	0
ENSG00000224896	0	0	0
ENSG00000224902	0	0	0
ENSG00000224904	0	0	0
ENSG00000224906	0	0	0
ENSG00000224907	0	0	0
ENSG00000224908	0	0	0
ENSG00000224916	0	0	0
ENSG00000224917	0	0	0
ENSG00000224920	0	0	0
ENSG00000224927	0	0	0
ENSG00000224928	0	0	0
ENSG00000224929	0	0	0
ENSG00000224931	0	0	0
ENSG00000224940	7	7	7
ENSG00000224941	0	0	0
ENSG00000224942	0	0	0
ENSG00000224946	0	0	0
ENSG00000224947	0	0	0
ENSG00000224948	0	0	0
ENSG00000224949	0	0	0
ENSG00000224952	0	0	0
ENSG00000224953	0	0	0
ENSG00000224955	0	0	0
ENSG00000224960	0	0	0
ENSG00000224962	0	0	0
ENSG00000224964	0	0	0
ENSG00000224966	0	0	0
ENSG00000224967	0	0	0
ENSG00000224971	0	0	0
ENSG00000224976	0	0	0
ENSG00000224978	0	0	0
ENSG00000224980	0	0	0
ENSG00000224981	0	0	0
ENSG00000224982	0	0	0
ENSG00000224986	0	0	0
ENSG00000224987	0	0	0
ENSG00000224988	0	0	0
ENSG00000224993	0	0	0
ENSG00000224994	0	0	4
ENSG00000224999	0	0	0
ENSG00000225003	0	0	0
ENSG00000225005	0	0	0
ENSG00000225008	0	0	0
ENSG00000225011	0	0	0
ENSG00000225014	0	0	0
ENSG00000225016	0	0	0
ENSG00000225017	0	0	0
ENSG00000225018	0	0	0
ENSG00000225022	0	0	0
ENSG00000225023	0	0	0
ENSG00000225024	0	0	0
ENSG00000225025	0	0	0
ENSG00000225026	0	0	0
ENSG00000225027	0	0	0
ENSG00000225031	0	0	0
ENSG00000225034	0	0	0
ENSG00000225036	0	0	0
ENSG00000225043	0	0	0
ENSG00000225045	0	0	0
ENSG00000225046	0	0	0
ENSG00000225048	0	0	0
ENSG00000225051	0	0	0
ENSG00000225053	0	0	0
ENSG00000225055	0	0	0
ENSG00000225066	0	0	0
ENSG00000225067	0	0	0
ENSG00000225069	0	0	0
ENSG00000225071	0	0	0
ENSG00000225072	0	0	0
ENSG00000225073	0	0	1.792
ENSG00000225078	0	0	0
ENSG00000225079	0	0	0
ENSG00000225080	0	0	0
ENSG00000225082	0	0	0
ENSG00000225093	0	0	0
ENSG00000225094	0	0	0
ENSG00000225098	0	0	0
ENSG00000225099	0	0	0
ENSG00000225100	0	0	0
ENSG00000225101	0	0	0
ENSG00000225103	0	0	0
ENSG00000225108	0	0	0
ENSG00000225110	0	0	0
ENSG00000225114	0	0	0
ENSG00000225116	0	0	0
ENSG00000225117	0	0	0
ENSG00000225118	0	0	0
ENSG00000225121	0	0	0
ENSG00000225122	0	0	0
ENSG00000225123	0	0	0
ENSG00000225124	0	0	0
ENSG00000225125	0	0	0
ENSG00000225130	0	0	0
ENSG00000225131	0	0	0
ENSG00000225132	0	0	0
ENSG00000225133	0	0	0
ENSG00000225136	0	0	0
ENSG00000225137	0	0	0
ENSG00000225141	0	0	0
ENSG00000225142	0	0	0
ENSG00000225145	0	0	0
ENSG00000225147	0	0	0
ENSG00000225151	53.454	53.455	53.454
ENSG00000225154	0	0	0
ENSG00000225155	0	0	0
ENSG00000225158	0	0	0
ENSG00000225159	0	0	0
ENSG00000225164	0	0	0
ENSG00000225165	0	0	0
ENSG00000225167	0	0	0
ENSG00000225169	0	0	0
ENSG00000225170	0	0	0
ENSG00000225171	0	0	0
ENSG00000225175	0	0	0
ENSG00000225176	0	0	0
ENSG00000225178	0	0	0
ENSG00000225182	0	0	0
ENSG00000225183	0	0	0
ENSG00000225185	0	0	0
ENSG00000225189	0	0	0
ENSG00000225191	0	0	0
ENSG00000225192	0	0	0
ENSG00000225193	0	0	0
ENSG00000225196	0	0	0
ENSG00000225198	0	0	0
ENSG00000225210	4.585	4.585	4.585
ENSG00000225211	0	0	0
ENSG00000225212	0	0	0
ENSG00000225215	0	0	0
ENSG00000225217	0	0	0
ENSG00000225221	0	0	0
ENSG00000225222	0	0	0
ENSG00000225224	0	0	0
ENSG00000225225	0	0	0
ENSG00000225228	0	0	0
ENSG00000225236	0	0	0
ENSG00000225237	0	0	0
ENSG00000225238	0	0	0
ENSG00000225239	0	0	0
ENSG00000225240	0	0	0
ENSG00000225242	0	0	0
ENSG00000225244	0	0	0
ENSG00000225246	0	0	0
ENSG00000225247	0	0	0
ENSG00000225251	0	0	0
ENSG00000225253	0	0	0
ENSG00000225254	0	0	0
ENSG00000225256	0	0	0
ENSG00000225259	0	0	0
ENSG00000225264	0	0	0
ENSG00000225267	0	0	0
ENSG00000225270	0	0	0
ENSG00000225271	0	0	0
ENSG00000225272	0	0	0
ENSG00000225274	0	0	0
ENSG00000225275	0	0	0
ENSG00000225276	0	0	0
ENSG00000225282	0	0	0
ENSG00000225286	0	0	0
ENSG00000225287	0	0	0
ENSG00000225289	0	0	0
ENSG00000225293	0	0	0
ENSG00000225294	0	0	0
ENSG00000225295	0	0	0
ENSG00000225297	0	0	0
ENSG00000225304	0	0	0
ENSG00000225308	0	0	0
ENSG00000225310	0	0	0
ENSG00000225312	0	0	0
ENSG00000225314	0	0	0
ENSG00000225323	0	0	0
ENSG00000225326	0	0	0
ENSG00000225327	0	0	0
ENSG00000225333	0	0	0
ENSG00000225336	0	0	0
ENSG00000225338	0	0	0
ENSG00000225343	0	0	0
ENSG00000225344	0	0	0
ENSG00000225345	1	1	1
ENSG00000225347	0	0	0
ENSG00000225349	0	0	0
ENSG00000225352	0	0	0
ENSG00000225354	0	0	0
ENSG00000225355	0	0	0
ENSG00000225356	0	0	0
ENSG00000225357	0	0	0
ENSG00000225358	0	0	0
ENSG00000225360	0	0	0
ENSG00000225362	0	0	0
ENSG00000225364	0	0	0
ENSG00000225366	0	0	0
ENSG00000225369	0	0	0
ENSG00000225371	0	0	0
ENSG00000225380	0	0	0
ENSG00000225381	0	0	0
ENSG00000225384	0	0	0
